4,"i4x-Engineering-db-video-vid-view_modifications_introduction-slice1",19924
4,"i4x-Engineering-db-video-vid-view_modifications_introduction-slice2",10498
4,"i4x-Engineering-db-video-vid-view_modifications_using_triggers",91646
4,"i4x-Engineering-db-video-vid-well-formed_xml-slice1",81481
4,"i4x-Engineering-db-video-vid-well-formed_xml-slice2",21828
4,"i4x-Engineering-db-video-vid-xml_schema",64662
4,"i4x-Engineering-db-video-vid-xpath_demo",174208
4,"i4x-Engineering-db-video-vid-xpath_introduction",45286
4,"i4x-Engineering-db-video-vid-xquery_demo",115336
4,"i4x-Engineering-db-video-vid-xquery_introduction",26302
4,"i4x-Engineering-db-video-vid-xslt",116884
